Poczatkowy stan komorek:  #  .  .  .  .  #  #  #  #  #  #  #  .  .  #  .  .  .  .  #  #
      Step 15, Rule 190:  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  .  #  #  #
      Step 16, Rule 190:  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  #  #  .  #
      Step 17, Rule 190:  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  .  .  #  #  #
      Step 18, Rule 190:  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  .  #
      Step 19, Rule 190:  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  #  #
      Step 20, Rule 190:  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  .  .  #
      Step 21, Rule 190:  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #
      Step 22, Rule 190:  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #
      Step 23, Rule 190:  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #
      Step 24, Rule 190:  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #
      Step 25, Rule 190:  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #
      Step 26, Rule 190:  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #
      Step 27, Rule 190:  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #
      Step 28, Rule 190:  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #
      Step 29, Rule 190:  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #
      Step 30, Rule 190:  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #
      Step 31, Rule 190:  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #  #  #  .  #
